iteration,nfev,energy
158,478,-1.1441617638124502
159,481,-1.1443040588616369
160,484,-1.1443381950899298
161,487,-1.1443601958573042
162,490,-1.1443620185566603
163,493,-1.1443414847469922
164,496,-1.144353113100456
165,499,-1.1443763614210045
166,502,-1.1443187538660273
167,505,-1.144339246176644
168,508,-1.1443754367131735
169,511,-1.1443440717035323
170,514,-1.1443654651698554
171,517,-1.144379292315676
172,520,-1.1443819220342881
173,523,-1.144375259696339
174,526,-1.1443845070249452
175,529,-1.144383799726945
176,532,-1.1444098609305662
177,535,-1.1444130785168645
178,538,-1.1444429063117387
179,541,-1.144470364569029
180,544,-1.1444959389735205
181,547,-1.1444777221349212
182,550,-1.1444955763826141
183,553,-1.144485977923388
184,556,-1.14450427451572
185,559,-1.1445294066344611
186,562,-1.1445334937431468
187,565,-1.144548575447203
188,568,-1.1446466199700045
189,571,-1.1446614851141015
190,574,-1.144686987084262
191,577,-1.144693774089935
192,580,-1.1446934573732035
193,583,-1.1446918356267266
194,586,-1.1446386604760468
195,589,-1.144695202271084
196,592,-1.144719303352114
197,595,-1.1447514524238283
198,598,-1.1447514501108191
199,601,-1.144751205889477
200,604,-1.1447146963956074
201,607,-1.1447571079067496
202,610,-1.144755077549274
203,613,-1.1447597886080363
204,616,-1.1447756940676292
205,619,-1.1447714776535807
206,622,-1.1446668574016587
207,625,-1.1447570160450924
208,628,-1.144721211627219
209,631,-1.144786394350879
210,634,-1.1447903217112754
211,637,-1.144758811207768
212,640,-1.1446962760971477
213,643,-1.144794449582126
214,646,-1.1447883856409045
215,649,-1.1447780113203168
216,652,-1.1448180186285606
217,655,-1.1448146347161248
218,658,-1.1448211259742593
219,661,-1.1448135514202624
220,664,-1.1447696766779014
221,667,-1.144822698457971
222,670,-1.1448693737576365
223,673,-1.1448700079198535
224,676,-1.1449520944116336
225,679,-1.14495544740169
226,682,-1.1449164732775685
227,685,-1.1449248680034647
228,688,-1.144962547434223
229,691,-1.1449639096418798
230,694,-1.1450180952660076
231,697,-1.1450076408729666
