iter,nfev,E
 113,  257,-1.146053077201
 114,  259,-1.146067190175
 115,  261,-1.145988011795
 116,  263,-1.146156420178
 117,  264,-1.146562056761
 118,  265,-1.146577780793
 119,  266,-1.146708923080
 120,  267,-1.146718716370
 121,  269,-1.146758338741
 122,  270,-1.146979984209
 123,  272,-1.146907848235
 124,  274,-1.146936794209
 125,  276,-1.146981332636
 126,  277,-1.147069835210
 127,  279,-1.147078137287
 128,  281,-1.147143957523
 129,  282,-1.147219696720
 130,  283,-1.147226368884
 131,  284,-1.147315379945
 132,  286,-1.147235285696
 133,  287,-1.147431861300
 134,  288,-1.147437734512
 135,  289,-1.147461421449
 136,  290,-1.147555934585
 137,  291,-1.147586006566
 138,  293,-1.147587756638
 139,  295,-1.147560171508
 140,  297,-1.147588239616
 141,  298,-1.147634438544
 142,  299,-1.147654971406
 143,  300,-1.147712422486
 144,  302,-1.147775446816
 145,  304,-1.147767148757
 146,  305,-1.147847382756
 147,  306,-1.147856350221
 148,  308,-1.147884797402
 149,  309,-1.147929535751
 150,  311,-1.147911569157
 151,  312,-1.148076717660
 152,  314,-1.148044225720
 153,  315,-1.148080157559
 154,  317,-1.148133335671
 155,  318,-1.148220125532
 156,  320,-1.148253391271
 157,  321,-1.148274485774
 158,  322,-1.148296693305
 159,  323,-1.148412913493
 160,  324,-1.148488769129
 161,  325,-1.148505476287
 162,  326,-1.148538586097
 163,  327,-1.148552271701
 164,  329,-1.148577838173
 165,  331,-1.148521661904
 166,  333,-1.148545607242
 167,  334,-1.148685564251
 168,  336,-1.148636505676
 169,  338,-1.148695888791
 170,  340,-1.148702317709
 171,  342,-1.148676457508
 172,  344,-1.148652522280
 173,  345,-1.148795637800
 174,  347,-1.148800219237
 175,  348,-1.148815275992
 176,  349,-1.148827097647
 177,  351,-1.148818103997
 178,  352,-1.148856641407
 179,  353,-1.148874034059
 180,  354,-1.148903142281
 181,  355,-1.148913733400
 182,  356,-1.148931356883
 183,  357,-1.148981587548
 184,  359,-1.148971293359
 185,  360,-1.149052357934
 186,  362,-1.149039761072
 187,  364,-1.149036206369
 188,  366,-1.149027167384
 189,  367,-1.149058015698
 190,  368,-1.149139618030
 191,  370,-1.149121407595
 192,  371,-1.149221861824
 193,  373,-1.149224234717
 194,  374,-1.149287316573
 195,  376,-1.149326495511
 196,  377,-1.149380648652
 197,  379,-1.149357477830
 198,  381,-1.149381652846
 199,  383,-1.149372977889
 200,  384,-1.149434370791
 201,  386,-1.149392693301
 202,  388,-1.149425020643
 203,  390,-1.149408393681
 204,  391,-1.149502931983
 205,  393,-1.149530811182
 206,  395,-1.149510697523
 207,  396,-1.149536575916
 208,  397,-1.149544748724
 209,  398,-1.149560334815
 210,  400,-1.149555705210
 211,  401,-1.149582219249
 212,  403,-1.149574369526
 213,  405,-1.149560666795
 214,  406,-1.149626866229
 215,  407,-1.149639777388
 216,  409,-1.149665523221
 217,  411,-1.149661849840
 218,  413,-1.149667075285
 219,  415,-1.149676524603
 220,  417,-1.149652524683
 221,  419,-1.149672218944
 222,  421,-1.149674133215
 223,  422,-1.149692832462
 224,  424,-1.149690286526
 225,  426,-1.149674217241
 226,  428,-1.149711779339
 227,  430,-1.149677490420
