iter,nfev,E
 156,  788,-108.611244175224
 157,  789,-108.611240093676
 158,  790,-108.611244383377
 159,  791,-108.611244895231
 160,  792,-108.611244295048
 161,  793,-108.611244162097
 162,  795,-108.611231514761
 163,  796,-108.611244505856
 164,  797,-108.611244553973
 165,  798,-108.611244255396
 166,  799,-108.611244728995
 167,  800,-108.611244673320
 168,  801,-108.611244757438
 169,  802,-108.611244979533
 170,  803,-108.611244887956
 171,  804,-108.611244763101
 172,  805,-108.611244803587
 173,  806,-108.611245272101
 174,  807,-108.611245170375
 175,  808,-108.611245336599
 176,  809,-108.611244955160
 177,  810,-108.611244889385
 178,  811,-108.611237012443
 179,  812,-108.611245635531
 180,  813,-108.611245654001
 181,  814,-108.611245788292
 182,  815,-108.611245108641
 183,  816,-108.611245746456
 184,  817,-108.611245918748
 185,  818,-108.611244032533
 186,  820,-108.611232062401
 187,  821,-108.611244666134
 188,  822,-108.611245694267
 189,  823,-108.611246086852
 190,  824,-108.611246163929
 191,  825,-108.611246531799
 192,  826,-108.611246123969
 193,  827,-108.611246466777
 194,  828,-108.611245941710
 195,  829,-108.611246795802
 196,  830,-108.611246055709
 197,  831,-108.611248529736
 198,  832,-108.611245458236
 199,  833,-108.611246913490
 200,  834,-108.611246907664
 201,  835,-108.611246987692
 202,  836,-108.611246662448
 203,  837,-108.611247181379
 204,  838,-108.611247205835
 205,  839,-108.611246909090
 206,  840,-108.611247055062
 207,  841,-108.611243555861
 208,  842,-108.611247530031
 209,  843,-108.611247100931
 210,  844,-108.611247746568
 211,  845,-108.611247396197
 212,  846,-108.611247820014
 213,  847,-108.611247944573
 214,  848,-108.611248026385
 215,  849,-108.611248113237
 216,  850,-108.611248201588
 217,  851,-108.611247892890
 218,  852,-108.611248124765
 219,  853,-108.611248440572
 220,  854,-108.611248487681
 221,  855,-108.611242914472
 222,  856,-108.611248679308
 223,  857,-108.611247842391
 224,  858,-108.611248583822
 225,  859,-108.611248596318
 226,  860,-108.611248679086
