iter,nfev,E
 644, 1366,-108.644015232789
 645, 1367,-108.644028606089
 646, 1369,-108.643991907370
 647, 1370,-108.644036145213
 648, 1372,-108.644012929316
 649, 1373,-108.644119651088
 650, 1375,-108.644118139234
 651, 1376,-108.644120744610
 652, 1378,-108.644093036069
 653, 1380,-108.644082799416
 654, 1382,-108.644094224390
 655, 1384,-108.644099474772
 656, 1386,-108.644112950305
 657, 1387,-108.644155747059
 658, 1389,-108.644121904835
 659, 1391,-108.644122356265
 660, 1393,-108.644098448868
 661, 1395,-108.644139702583
 662, 1396,-108.644169801596
 663, 1398,-108.644179229699
 664, 1399,-108.644218691549
 665, 1401,-108.644219438246
 666, 1403,-108.644218288759
 667, 1405,-108.644256049268
 668, 1406,-108.644286419733
 669, 1407,-108.644288677693
 670, 1408,-108.644292133182
 671, 1409,-108.644313605976
 672, 1411,-108.644293443121
 673, 1413,-108.644276600098
 674, 1415,-108.644317126797
 675, 1417,-108.644334620895
 676, 1418,-108.644381097507
 677, 1420,-108.644363794785
 678, 1422,-108.644383081492
 679, 1424,-108.644351659827
 680, 1426,-108.644398177752
 681, 1428,-108.644373514303
 682, 1430,-108.644296103751
 683, 1431,-108.644444722551
 684, 1433,-108.644466696195
 685, 1434,-108.644503571728
 686, 1435,-108.644546862889
 687, 1437,-108.644563468818
 688, 1439,-108.644565378545
 689, 1440,-108.644582046070
 690, 1442,-108.644613107460
 691, 1444,-108.644590588914
 692, 1446,-108.644587836060
 693, 1447,-108.644634194654
 694, 1448,-108.644634367808
 695, 1450,-108.644644001573
 696, 1452,-108.644650567233
 697, 1454,-108.644657455301
 698, 1456,-108.644655343265
 699, 1458,-108.644649747403
 700, 1460,-108.644681923741
 701, 1462,-108.644710510513
 702, 1463,-108.644726408343
 703, 1464,-108.644752494857
 704, 1465,-108.644784607646
 705, 1466,-108.644819485065
 706, 1468,-108.644852725616
 707, 1470,-108.644846194173
 708, 1471,-108.644911101918
 709, 1473,-108.644896575517
 710, 1474,-108.644943664119
 711, 1475,-108.644955631711
 712, 1477,-108.644971354495
 713, 1478,-108.645004903214
 714, 1479,-108.645038573542
 715, 1480,-108.645049679612
 716, 1482,-108.645012011103
 717, 1483,-108.645073307569
 718, 1485,-108.645080995607
 719, 1487,-108.645074432864
 720, 1488,-108.645099724818
 721, 1489,-108.645175200521
 722, 1491,-108.645151878789
 723, 1493,-108.645155715542
 724, 1494,-108.645246225172
 725, 1496,-108.645145846143
 726, 1497,-108.645307645984
 727, 1498,-108.645310061656
 728, 1500,-108.645319886142
 729, 1501,-108.645326633492
 730, 1503,-108.645359188636
 731, 1504,-108.645422531572
 732, 1506,-108.645437645312
 733, 1507,-108.645451762865
 734, 1508,-108.645464127867
 735, 1509,-108.645503179781
 736, 1511,-108.645500891072
 737, 1513,-108.645425978979
 738, 1514,-108.645503762952
 739, 1516,-108.645454818482
 740, 1518,-108.645454464414
 741, 1520,-108.645483658387
 742, 1521,-108.645504858024
 743, 1523,-108.645517766602
 744, 1525,-108.645500656315
 745, 1527,-108.645511741361
 746, 1529,-108.645542692426
 747, 1531,-108.645544888862
 748, 1533,-108.645537382164
 749, 1535,-108.645538851353
 750, 1536,-108.645576246162
 751, 1537,-108.645584158120
 752, 1538,-108.645672892570
 753, 1540,-108.645711364560
 754, 1542,-108.645738042565
 755, 1544,-108.645672175996
 756, 1545,-108.645743959627
 757, 1547,-108.645735959580
 758, 1548,-108.645819671328
 759, 1550,-108.645798089787
 760, 1552,-108.645834951108
 761, 1554,-108.645812028990
 762, 1556,-108.645821948569
 763, 1558,-108.645801543517
 764, 1560,-108.645845522765
 765, 1562,-108.645870301801
 766, 1564,-108.645857810883
 767, 1566,-108.645859095341
 768, 1568,-108.645875858083
 769, 1569,-108.645920295394
 770, 1571,-108.645915955085
 771, 1573,-108.645917448508
 772, 1575,-108.645930050978
 773, 1576,-108.645950166933
 774, 1578,-108.645941466023
 775, 1580,-108.645940734817
 776, 1581,-108.645963307769
 777, 1583,-108.645962268402
 778, 1585,-108.645943021277
 779, 1587,-108.645973926476
 780, 1589,-108.645928020088
 781, 1590,-108.645977455815
 782, 1591,-108.646013975350
 783, 1593,-108.645991918215
 784, 1594,-108.646046472040
 785, 1596,-108.646037840841
 786, 1597,-108.646064292489
 787, 1599,-108.646047023731
 788, 1601,-108.646085196669
 789, 1603,-108.646076975278
 790, 1605,-108.646081797475
 791, 1607,-108.646084513737
 792, 1609,-108.646068970172
 793, 1611,-108.646069685926
 794, 1613,-108.646092294422
 795, 1615,-108.646028824765
 796, 1617,-108.646060559847
 797, 1618,-108.646097932828
 798, 1620,-108.646104502120
 799, 1622,-108.646077910941
 800, 1624,-108.646072445373
 801, 1625,-108.646126547800
 802, 1626,-108.646154366132
 803, 1628,-108.646126641151
 804, 1630,-108.646148999650
 805, 1632,-108.646135614958
 806, 1633,-108.646158008047
 807, 1634,-108.646198397714
 808, 1636,-108.646199857398
 809, 1638,-108.646210085524
 810, 1640,-108.646208789667
 811, 1642,-108.646200518371
 812, 1644,-108.646206924725
 813, 1646,-108.646130722318
 814, 1647,-108.646212008276
 815, 1648,-108.646220355856
 816, 1650,-108.646222092284
 817, 1652,-108.646209286862
 818, 1653,-108.646226812032
 819, 1655,-108.646203054456
 820, 1657,-108.646240793123
 821, 1659,-108.646229963931
 822, 1661,-108.646224436597
 823, 1663,-108.646179588995
 824, 1664,-108.646281582804
 825, 1666,-108.646278726881
 826, 1668,-108.646283388394
 827, 1670,-108.646277684410
 828, 1672,-108.646262348891
 829, 1674,-108.646278468389
 830, 1676,-108.646272023771
 831, 1678,-108.646262290606
 832, 1680,-108.646257929644
 833, 1682,-108.646216082937
 834, 1684,-108.646296181758
 835, 1686,-108.646274627296
 836, 1687,-108.646362881148
 837, 1689,-108.646350742869
 838, 1690,-108.646370885987
 839, 1691,-108.646415113734
 840, 1693,-108.646374673828
 841, 1695,-108.646387912421
 842, 1697,-108.646391801405
 843, 1699,-108.646449404192
 844, 1700,-108.646473226675
 845, 1702,-108.646420309875
 846, 1704,-108.646430908820
 847, 1706,-108.646453296931
 848, 1707,-108.646500382695
 849, 1708,-108.646517378843
 850, 1710,-108.646493408410
 851, 1711,-108.646590459924
 852, 1712,-108.646592380206
 853, 1714,-108.646566045841
 854, 1716,-108.646595097984
 855, 1718,-108.646596715785
 856, 1720,-108.646601616599
 857, 1722,-108.646586766180
 858, 1724,-108.646596856771
 859, 1726,-108.646624737850
 860, 1728,-108.646604678556
 861, 1730,-108.646619110063
 862, 1731,-108.646625542079
