iter,nfev,E
 136,  892,-108.583707291061
 137,  894,-108.618835360996
 138,  896,-108.618435024413
 139,  898,-108.618623092597
 140,  900,-108.618565727012
 141,  902,-108.618509292296
 142,  904,-108.618591222674
 143,  906,-108.618801221082
 144,  908,-108.618539513093
 145,  910,-108.618856512692
 146,  912,-108.618703010347
 147,  914,-108.618601071037
 148,  916,-108.618829540332
 149,  918,-108.618732904449
 150,  920,-108.618957231470
 151,  922,-108.618857137322
 152,  924,-108.618885930980
 153,  926,-108.619115876554
 154,  928,-108.619305758820
 155,  930,-108.619084688996
 156,  932,-108.618956222092
 157,  934,-108.618880891682
 158,  936,-108.619016229951
 159,  938,-108.619033254710
 160,  940,-108.618973288552
 161,  942,-108.619038847407
 162,  944,-108.619339231484
 163,  946,-108.618916939033
 164,  948,-108.619211584829
 165,  950,-108.619344547970
 166,  952,-108.619387785875
 167,  954,-108.619189401321
 168,  956,-108.619294541528
 169,  958,-108.619048866025
 170,  960,-108.618414177434
 171,  962,-108.618710557464
 172,  964,-108.619486051666
 173,  966,-108.619442966826
 174,  968,-108.619386061958
 175,  970,-108.619537698059
 176,  972,-108.619384739184
 177,  974,-108.619520966614
 178,  976,-108.619492812308
 179,  978,-108.619489178627
 180,  980,-108.619671285769
 181,  982,-108.619624218527
 182,  984,-108.619730513556
 183,  986,-108.618691252964
 184,  988,-108.619352177130
 185,  990,-108.598567087557
 186,  992,-108.565825679594
 187,  994,-108.619601510630
 188,  996,-108.619642132808
 189,  998,-108.618822844625
 190, 1000,-108.619323402346
 191, 1002,-108.619547559389
 192, 1004,-108.619320225050
 193, 1006,-108.619977639226
 194, 1008,-108.619310936609
 195, 1010,-108.619618330231
 196, 1012,-108.620125963180
 197, 1014,-108.619869459008
 198, 1016,-108.619761863224
 199, 1018,-108.619636216599
 200, 1020,-108.619645225862
 201, 1022,-108.620195241284
 202, 1024,-108.620000980169
 203, 1026,-108.620215922853
 204, 1028,-108.620397543477
 205, 1030,-108.619830308635
 206, 1032,-108.620096150764
 207, 1034,-108.619903568861
 208, 1036,-108.620325145002
 209, 1038,-108.620563112542
 210, 1040,-108.620379574971
 211, 1042,-108.620447366926
 212, 1044,-108.620812054469
 213, 1046,-108.620618161688
 214, 1048,-108.620698292092
 215, 1050,-108.620640365258
 216, 1052,-108.620792112606
 217, 1054,-108.620845054394
 218, 1056,-108.620902808927
 219, 1058,-108.620860703738
 220, 1060,-108.620580604690
 221, 1062,-108.620998180211
 222, 1064,-108.620827562409
 223, 1066,-108.620910346645
 224, 1068,-108.621065652297
