iteration,nfev,energy
214,646,-108.61932541307694
215,649,-108.61938564005533
216,652,-108.61929172998562
217,655,-108.61961937990432
218,658,-108.61940399565093
219,661,-108.61988940716483
220,664,-108.62014835144761
221,667,-108.62021964254144
222,670,-108.6202988236943
223,673,-108.6202995257111
224,676,-108.62023789521318
225,679,-108.62012046631712
226,682,-108.62029862948911
227,685,-108.62018071578491
228,688,-108.6201609125202
229,691,-108.6205275272011
230,694,-108.62035433555535
231,697,-108.6202130206904
232,700,-108.62049844378099
233,703,-108.62047828661069
234,706,-108.62066141846194
235,709,-108.62061416616632
236,712,-108.62069837829924
237,715,-108.62077434812134
238,718,-108.62087182714257
239,721,-108.62085582147824
240,724,-108.6208633412492
241,727,-108.6208416371625
242,730,-108.62103826988674
243,733,-108.62098498277936
244,736,-108.62093067696867
