iter,nfev,E
  74,  114,-1.137109280681
  75,  115,-1.137111011185
  76,  117,-1.137111686771
  77,  119,-1.137111656097
  78,  121,-1.137111257913
  79,  122,-1.137113103577
  80,  124,-1.137113427715
  81,  125,-1.137113503518
  82,  126,-1.137113547537
  83,  127,-1.137113710113
  84,  129,-1.137113073972
  85,  130,-1.137114285190
  86,  132,-1.137113859977
  87,  134,-1.137113994828
  88,  136,-1.137113579615
  89,  137,-1.137113756597
  90,  138,-1.137114856286
  91,  139,-1.137115025930
  92,  140,-1.137115307176
  93,  141,-1.137115789185
  94,  142,-1.137116002635
  95,  143,-1.137116321638
  96,  144,-1.137116565377
  97,  145,-1.137116736972
  98,  147,-1.137116724596
  99,  149,-1.137116746475
 100,  150,-1.137116775875
 101,  151,-1.137116799169
 102,  152,-1.137116846124
 103,  153,-1.137116873024
 104,  154,-1.137116887265
 105,  155,-1.137116896302
 106,  157,-1.137116909918
 107,  159,-1.137116909850
 108,  160,-1.137116921912
 109,  162,-1.137116935807
 110,  163,-1.137116944968
 111,  164,-1.137116966443
 112,  165,-1.137116972097
 113,  166,-1.137116988113
 114,  167,-1.137116998210
 115,  168,-1.137117005169
 116,  170,-1.137117010821
 117,  171,-1.137117019616
 118,  173,-1.137117024097
 119,  174,-1.137117035113
 120,  175,-1.137117040562
 121,  177,-1.137117042028
 122,  178,-1.137117052430
 123,  180,-1.137117051529
 124,  182,-1.137117052517
 125,  184,-1.137117052715
 126,  185,-1.137117050131
 127,  186,-1.137117045373
 128,  187,-1.137117056476
 129,  188,-1.137117056932
 130,  189,-1.137117057093
 131,  190,-1.137117057173
 132,  191,-1.137117057504
 133,  193,-1.137117057184
 134,  194,-1.137117058089
 135,  195,-1.137117058125
 136,  196,-1.137117058872
 137,  197,-1.137117059357
 138,  198,-1.137117059381
 139,  199,-1.137117059728
 140,  200,-1.137117060065
 141,  201,-1.137117060228
 142,  202,-1.137117060703
 143,  203,-1.137117061046
 144,  204,-1.137117061123
 145,  205,-1.137117061277
 146,  206,-1.137117061504
 147,  208,-1.137117061628
 148,  209,-1.137117062042
 149,  210,-1.137117062597
 150,  211,-1.137117063072
 151,  212,-1.137117063358
 152,  213,-1.137117063734
 153,  214,-1.137117063875
 154,  215,-1.137117064099
 155,  217,-1.137117063991
 156,  219,-1.137117064025
 157,  221,-1.137117064037
 158,  222,-1.137117064626
 159,  223,-1.137117064947
 160,  224,-1.137117065208
 161,  226,-1.137117065200
 162,  228,-1.137117065315
 163,  229,-1.137117065549
 164,  231,-1.137117065499
 165,  232,-1.137117065786
 166,  233,-1.137117066073
 167,  234,-1.137117066215
 168,  235,-1.137117066343
 169,  236,-1.137117066434
 170,  237,-1.137117066553
 171,  238,-1.137117066712
 172,  240,-1.137117066663
 173,  241,-1.137117066728
 174,  242,-1.137117066843
 175,  243,-1.137117066944
 176,  244,-1.137117066995
 177,  245,-1.137117067137
 178,  246,-1.137117067198
 179,  247,-1.137117067255
 180,  248,-1.137117067292
 181,  250,-1.137117067301
 182,  251,-1.137117067308
 183,  253,-1.137117067281
 184,  255,-1.137117067312
 185,  257,-1.137117067315
 186,  258,-1.137117067320
 187,  260,-1.137117067317
 188,  262,-1.137117067316
 189,  263,-1.137117067317
 190,  265,-1.137117067319
 191,  267,-1.137117067320
 192,  269,-1.137117067319
 193,  270,-1.137117067321
 194,  271,-1.137117067323
 195,  273,-1.137117067322
 196,  274,-1.137117067325
 197,  275,-1.137117067326
 198,  277,-1.137117067325
 199,  278,-1.137117067329
 200,  279,-1.137117067332
 201,  280,-1.137117067335
 202,  281,-1.137117067336
 203,  282,-1.137117067337
 204,  283,-1.137117067338
 205,  284,-1.137117067339
 206,  285,-1.137117067339
 207,  286,-1.137117067340
 208,  287,-1.137117067341
 209,  289,-1.137117067341
 210,  290,-1.137117067341
 211,  292,-1.137117067341
 212,  294,-1.137117067342
 213,  296,-1.137117067342
 214,  297,-1.137117067343
 215,  299,-1.137117067343
 216,  301,-1.137117067343
 217,  302,-1.137117067342
 218,  303,-1.137117067343
 219,  305,-1.137117067343
 220,  306,-1.137117067343
 221,  307,-1.137117067343
 222,  309,-1.137117067343
 223,  310,-1.137117067343
 224,  311,-1.137117067343
 225,  312,-1.137117067343
 226,  313,-1.137117067344
