iteration,nfev,energy
141,426,-1.1323752765757968
142,429,-1.132375720016039
143,432,-1.132425312670906
144,435,-1.1324708547960012
145,438,-1.1324713722492479
146,441,-1.1325347441197844
147,444,-1.132574719819637
148,447,-1.1326300578727606
149,450,-1.132631372878556
150,453,-1.1326661887914444
151,456,-1.1327106181065913
152,459,-1.1327385781442332
153,462,-1.1327391879814845
154,465,-1.132780244779178
155,468,-1.1327814428877698
156,471,-1.1328547824096507
157,474,-1.1329092413925215
158,477,-1.132909375072428
159,480,-1.132909482435154
160,483,-1.1329111128515916
161,486,-1.132960175628091
162,489,-1.132960200462186
163,492,-1.1329602681753446
164,495,-1.132960285724328
165,498,-1.1329894808225696
166,501,-1.133029673989803
167,504,-1.1330585379339628
168,507,-1.1331031226924844
169,510,-1.1331457332712795
170,513,-1.1331475287732014
171,516,-1.1331725591768045
172,519,-1.1331761517207266
173,522,-1.1331761983260913
174,525,-1.1332407412404528
175,528,-1.1332982199585897
176,531,-1.1332982641511011
177,534,-1.1333490797315533
178,537,-1.1333492584765024
179,540,-1.1333493474823224
180,543,-1.1333868173518948
181,546,-1.133432290329615
182,549,-1.1334325126382405
183,552,-1.1334658035879923
184,555,-1.133510547241487
185,558,-1.133552309963314
186,561,-1.1335899202070008
187,564,-1.133589998234091
188,567,-1.1336286132578048
189,570,-1.1336288816041966
190,573,-1.1336631842297764
191,576,-1.1337020573820518
192,579,-1.1337391833755572
193,582,-1.1337769130370765
194,585,-1.1338092921000917
195,588,-1.1338094105686396
196,591,-1.1338384645043103
197,594,-1.1338386491708814
198,597,-1.133838784005491
199,600,-1.133876040000788
200,603,-1.1338761971700642
201,606,-1.1339079733890054
202,609,-1.1339312560499597
203,612,-1.1339515880630844
204,615,-1.1339520170372968
205,618,-1.1339757114383382
206,621,-1.1339767442053543
207,624,-1.1340235122329294
208,627,-1.1340461970845173
209,630,-1.1340488702625744
210,633,-1.1340911469951296
211,636,-1.1340918811191296
212,639,-1.1340923823376432
213,642,-1.1341180739190728
214,645,-1.1341183671457387
215,648,-1.1341528862881949
216,651,-1.1341534723069797
217,654,-1.1341536831361856
218,657,-1.1341541717936965
219,660,-1.134175636614121
220,663,-1.1341959391383223
221,666,-1.1342262914221086
222,669,-1.1342631413121065
223,672,-1.1342952295210886
224,675,-1.1342952378823254
225,678,-1.1343205753761616
226,681,-1.1343206047279544
227,684,-1.134320930805679
228,687,-1.1343210325140465
229,690,-1.1343470531067223
230,693,-1.1343471918189036
