R_AA,E_FCI,E_CCSD,E_uCCSD,E_uCJ,E_2uCJ,E_3uCJ,E_L-1uCJ,E_L-2uCJ,E_L-1uCJ_opt,E_L-2uCJ_opt
1.450000,-1.060453010025,-1.060453011606,-1.052355404704,-1.052543561371,-1.051951930304,-1.052388863564,-1.026561110316,-1.041885858656,-1.059597123604,-1.060453008998
1.500000,-1.054436565273,-1.054436565351,-1.045156210410,-1.045415413189,-1.044990029140,-1.045331194733,-1.018328382047,-1.034597177369,-1.053688223214,-1.054436548906
1.550000,-1.048799887555,-1.048799887777,-1.038227230606,-1.038575387859,-1.038297031364,-1.038555082931,-1.010331972719,-1.027589005171,-1.048150956829,-1.048799886331
1.600000,-1.043547071184,-1.043547069518,-1.031571037600,-1.032029081445,-1.031880051693,-1.032066169444,-1.002579943919,-1.020869569995,-1.042987911071,-1.043547071168
1.650000,-1.038677459872,-1.038677459915,-1.025187233963,-1.025779258600,-1.025743164060,-1.025867263317,-0.995077410307,-1.014443791397,-1.038198172146,-1.038556161710
1.700000,-1.034186272512,-1.034186272629,-1.019073289047,-1.019826574702,-1.019888156798,-1.019959080987,-0.987827231723,-1.008313960522,-1.033777270494,-1.034186272469
1.750000,-1.030065103257,-1.030065104086,-1.013225194161,-1.014170088944,-1.014315086495,-1.014340771622,-0.980830553999,-1.002480283171,-1.029717548424,-1.030065102572
1.800000,-1.026302362179,-1.026302361964,-1.007637942921,-1.008807581733,-1.009022645649,-1.009010252657,-0.974087174757,-0.996941244157,-1.026007982525,-1.026302361218
1.850000,-1.022883702744,-1.022883702864,-1.002305904799,-1.003735755449,-1.004008409785,-1.003964423753,-0.967595828942,-0.991693900837,-1.022635216069,-1.022883698320
1.900000,-1.019792462833,-1.019792462187,-0.997223097131,-0.998950337894,-0.999268978445,-0.999199277749,-0.961354388057,-0.986734090831,-1.019583046078,-1.019720845337
1.950000,-1.017010128652,-1.017010127799,-0.992383386532,-0.994446134988,-0.994800053298,-0.994709954691,-0.955360023481,-0.982056612167,-1.016833973879,-1.016948801568
2.000000,-1.014516816980,-1.014516814946,-0.987780628431,-0.990217054869,-0.990596476119,-0.990490761698,-0.949609322873,-0.977655359521,-1.014368599033,-1.014516815477
2.050000,-1.012291761694,-1.012291758946,-0.983408746630,-0.986256118827,-0.986652242829,-0.986535175444,-0.944098384332,-0.973523444227,-1.012166885079,-1.012250979470
2.100000,-1.010313785717,-1.010313782273,-0.979261770224,-0.982555483351,-0.982960511658,-0.982835846961,-0.938822887570,-0.969653295525,-1.010208309644,-1.010276160241
2.150000,-1.008561738881,-1.008561738636,-0.975333839890,-0.979106485064,-0.979513635249,-0.979384632832,-0.933778153706,-0.966036757196,-1.008472272333,-1.008529949931
2.200000,-1.007014884946,-1.007014884791,-0.971619176503,-0.975899701408,-0.976303195417,-0.976172635628,-0.928959177473,-0.962665156453,-1.006938569281,-1.006988129525
2.250000,-1.005653225833,-1.005653225833,-0.968112047391,-0.972925048757,-0.973320084379,-0.973190289211,-0.924360676822,-0.959529400701,-1.005587666159,-1.005630755867
2.300000,-1.004457756805,-1.004457756410,-0.964806701873,-0.970171883899,-0.970554585960,-0.970427445927,-0.919977103579,-0.956620029957,-1.004400966502,-1.004438914954
2.350000,-1.003410651927,-1.003410647016,-0.961697321457,-0.967629136620,-0.967996483465,-0.967873493844,-0.915802672057,-0.953927292029,-1.003360982893,-1.003394862310
2.400000,-1.002495383735,-1.002495383267,-0.958777961980,-0.965285437737,-0.965635188387,-0.965517484207,-0.911831382905,-0.951441214502,-1.002451496035,-1.002482184275
2.450000,-1.001696784502,-1.001696784034,-0.956042503975,-0.963129252446,-0.963459849575,-0.963348250594,-0.908057013684,-0.949151631947,-1.001659885967,-1.001685767097
2.500000,-1.001001058414,-1.001001055675,-0.953484624743,-0.961149012526,-0.961459495481,-0.961354546620,-0.904473165408,-0.947048280929,-1.000965659129,-1.000991877644
