R,E_FCI,E_HF,E_CCSD,E_uCJ,E_LuCJ,E_LuCJ1(var-opt)
2.050000,-0.946349737326,-0.773749208406,-0.946349738675,-0.910593908750,-0.852452538055,-0.946349737324
2.100000,-0.944374681120,-0.764177651617,-0.944374682168,-0.907546422711,-0.846572372938,-0.944374681118
2.150000,-0.942677785696,-0.755066140849,-0.942677786412,-0.904846614422,-0.841085311609,-0.942677785033
2.200000,-0.941224033693,-0.746401349991,-0.941224034108,-0.902458207726,-0.835965625946,-0.941224033082
2.250000,-0.939981705201,-0.738168827245,-0.939981705393,-0.900347255925,-0.831188400869,-0.939981704666
2.300000,-0.938922385987,-0.730353321355,-0.938922386560,-0.898482391256,-0.826729797960,-0.938922385588
2.350000,-0.938020864738,-0.722939071968,-0.938020864836,-0.896834940631,-0.822567233561,-0.938020864483
2.400000,-0.937254953010,-0.715910060454,-0.937254953011,-0.895378939084,-0.818679488050,-0.937254952790
2.450000,-0.936605256416,-0.709250219239,-0.936605256422,-0.894091057594,-0.815046752253,-0.936605256227
2.500000,-0.936054919956,-0.702943599724,-0.936054919961,-0.892950476147,-0.811650629059,-0.936054919793
2.550000,-0.935589365026,-0.696974500740,-0.935589038373,-0.891938542414,-0.808473960760,-0.935589364887
2.600000,-0.935196030847,-0.691327561197,-0.935195971650,-0.891039429302,-0.805501429919,-0.935196030728
2.650000,-0.934864128930,-0.685987821694,-0.934864128938,-0.890238343517,-0.802718230867,-0.934864128828
2.700000,-0.934584415937,-0.680940760623,-0.934584416057,-0.889522765626,-0.800111105116,-0.934584415850
2.750000,-0.934348987747,-0.676172310463,-0.934348987852,-0.888881702429,-0.797667810068,-0.934348987673
2.800000,-0.934151095671,-0.671668859752,-0.934151096035,-0.888305526880,-0.795377038273,-0.934151095608
2.850000,-0.933984984440,-0.667417245695,-0.933984985378,-0.887785846481,-0.793228351758,-0.933984984315
2.900000,-0.933845750779,-0.663404741599,-0.933845752724,-0.887315355722,-0.791212097747,-0.933845750674
2.950000,-0.933729220839,-0.659619042462,-0.933729224246,-0.886887703301,-0.789319331304,-0.933729220750
3.000000,-0.933631844558,-0.656048251146,-0.933631849743,-0.886497373907,-0.787541745923,-0.933631844060
